1,2022-2023,20,,,Erling Haaland,25,1
2,2021-2022,20,Manchester City,93,"Son Heung-min, Mohamed Salah",23,1
3,2020-2021,20,Manchester City,86,Harry Kane,23,1
4,2019-2020,20,Liverpool,99,Jamie Vardy,23,1
5,2018-2019,20,Manchester City,98,"Pierre-Emerick Aubameyang, Sadio Mané...",22,1
6,2017-2018,20,Manchester City,100,Mohamed Salah,32,1
7,2016-2017,20,Chelsea,93,Harry Kane,29,1
8,2015-2016,20,Leicester City,81,Harry Kane,25,1
9,2014-2015,20,Chelsea,87,Sergio Agüero,26,1
10,2013-2014,20,Manchester City,86,Luis Suárez,31,1
11,2012-2013,20,Manchester United,89,Robin van Persie,26,1
12,2011-2012,20,Manchester City,89,Robin van Persie,30,1
13,2010-2011,20,Manchester United,80,"Dimitar Berbatov, Carlos Tevez",20,1
14,2009-2010,20,Chelsea,86,Didier Drogba,29,1
15,2008-2009,20,Manchester United,90,Nicolas Anelka,19,1
16,2007-2008,20,Manchester United,87,Cristiano Ronaldo,31,1
17,2006-2007,20,Manchester United,89,Didier Drogba,20,1
18,2005-2006,20,Chelsea,91,Thierry Henry,27,1
19,2004-2005,20,Chelsea,95,Thierry Henry,25,1
20,2003-2004,20,Arsenal,90,Thierry Henry,30,1
21,2002-2003,20,Manchester United,83,Ruud van Nistelrooy,25,1
22,2001-2002,20,Arsenal,87,Thierry Henry,24,1
23,2000-2001,20,Manchester United,80,Jimmy Floyd Hasselbaink,23,1
24,1999-2000,20,Manchester United,91,Kevin Phillips,30,1
25,1998-1999,20,Manchester United,79,"Dwight Yorke, Jimmy Floyd Hasselbaink...",18,1
26,1997-1998,20,Arsenal,78,"Michael Owen, Chris Sutton...",18,1
27,1996-1997,20,Manchester United,75,Alan Shearer,25,1
28,1995-1996,20,Manchester United,82,Alan Shearer,31,1
29,1994-1995,22,Blackburn Rovers,89,Alan Shearer,34,1
30,1993-1994,22,Manchester United,92,Andy Cole,34,1
31,1992-1993,22,Manchester United,84,Teddy Sheringham,22,1
32,1991-1992,22,Leeds United,82,,,1
33,1990-1991,20,Arsenal,83,,,1
34,1989-1990,20,Liverpool,79,,,1
35,1988-1989,20,Arsenal,76,,,1
36,1987-1988,21,Liverpool,90,,,1
37,1986-1987,22,Everton,86,,,1
38,1985-1986,22,Liverpool,88,,,1
39,1984-1985,22,Everton,90,,,1
40,1983-1984,22,Liverpool,80,,,1
41,1982-1983,22,Liverpool,82,,,1
42,1981-1982,22,Liverpool,87,,,1
43,1980-1981,22,Aston Villa,60,,,1
44,1979-1980,22,Liverpool,60,,,1
45,1978-1979,22,Liverpool,68,,,1
46,1977-1978,22,Nottingham Forest,64,,,1
47,1976-1977,22,Liverpool,57,,,1
48,1975-1976,22,Liverpool,60,,,1
49,1974-1975,22,Derby County,53,,,1
50,1973-1974,22,Leeds United,62,,,1
51,1972-1973,22,Liverpool,60,,,1
52,1971-1972,22,Derby County,58,,,1
53,1970-1971,22,Arsenal,65,,,1
54,1969-1970,22,Everton,66,,,1
55,1968-1969,22,Leeds United,67,,,1
56,1967-1968,22,Manchester City,58,,,1
57,1966-1967,22,Manchester United,60,,,1
58,1965-1966,22,Liverpool,61,,,1
59,1964-1965,22,Manchester United,61,,,1
60,1963-1964,22,Liverpool,57,,,1
61,1962-1963,22,Everton,61,,,1
62,1961-1962,22,Ipswich Town,56,,,1
63,1960-1961,22,Tottenham Hotspur,66,,,1
64,1959-1960,22,Burnley,55,,,1
65,1958-1959,22,Wolverhampton Wanderers,61,,,1
66,1957-1958,22,Wolverhampton Wanderers,64,,,1
67,1956-1957,22,Manchester United,64,,,1
68,1955-1956,22,Manchester United,60,,,1
69,1954-1955,22,Chelsea,52,,,1
70,1953-1954,22,Wolverhampton Wanderers,57,,,1
71,1952-1953,22,Arsenal,54,,,1
72,1951-1952,22,Manchester United,57,,,1
73,1950-1951,22,Tottenham Hotspur,60,,,1
74,1949-1950,22,Portsmouth,53,,,1
75,1948-1949,22,Portsmouth,58,,,1
76,1947-1948,22,Arsenal,59,,,1
77,1946-1947,22,Liverpool,57,,,1
78,1938-1939,22,Everton,59,,,1
79,1937-1938,22,Arsenal,52,,,1
80,1936-1937,22,Manchester City,57,,,1
81,1935-1936,22,Sunderland,56,,,1
82,1934-1935,22,Arsenal,58,,,1
83,1933-1934,22,Arsenal,59,,,1
84,1932-1933,22,Arsenal,58,,,1
85,1931-1932,22,Everton,56,,,1
86,1930-1931,22,Arsenal,66,,,1
87,1929-1930,22,Sheffield Wednesday,60,,,1
88,1928-1929,22,The Wednesday,52,,,1
89,1927-1928,22,Everton,53,,,1
90,1926-1927,22,Newcastle United,56,,,1
91,1925-1926,22,Huddersfield Town,57,,,1
92,1924-1925,22,Huddersfield Town,58,,,1
93,1923-1924,22,Huddersfield Town,57,,,1
94,1922-1923,22,Liverpool,60,,,1
95,1921-1922,22,Liverpool,57,,,1
96,1920-1921,22,Burnley,59,,,1
97,1919-1920,22,West Bromwich Albion,60,,,1
98,1914-1915,20,Everton,46,,,1
99,1913-1914,20,Blackburn Rovers,51,,,1
100,1912-1913,20,Sunderland,54,,,1
101,1911-1912,20,Blackburn Rovers,49,,,1
102,1910-1911,20,Manchester United,52,,,1
103,1909-1910,20,Aston Villa,53,,,1
104,1908-1909,20,Newcastle United,53,,,1
105,1907-1908,20,Manchester United,52,,,1
106,1906-1907,20,Newcastle United,51,,,1
107,1905-1906,20,Liverpool,51,,,1
108,1904-1905,18,Newcastle United,48,,,1
109,1903-1904,18,The Wednesday,47,,,1
110,1902-1903,18,The Wednesday,42,,,1
111,1901-1902,18,Sunderland,44,,,1
112,1900-1901,18,Liverpool,45,,,1
113,1899-1900,18,Aston Villa,50,,,1
114,1898-1899,18,Aston Villa,45,,,1
115,1897-1898,16,Sheffield United,42,,,1
116,1896-1897,16,Aston Villa,47,,,1
117,1895-1896,16,Aston Villa,45,,,1
118,1894-1895,16,Sunderland,47,,,1
119,1893-1894,16,Aston Villa,44,,,1
120,1892-1893,16,Sunderland,48,,,1
121,1891-1892,14,Sunderland,42,,,1
122,1890-1891,12,Everton,29,,,1
123,1889-1890,12,Preston North End,33,,,1
124,1888-1889,12,Preston North End,40,,,1
125,2022-2023,20,,,Victor Osimhen,14,4
126,2021-2022,20,Milan,86,Ciro Immobile,27,4
127,2020-2021,20,Internazionale,91,Cristiano Ronaldo,29,4
128,2019-2020,20,Juventus,83,Ciro Immobile,36,4
129,2018-2019,20,Juventus,90,Fabio Quagliarella,26,4
130,2017-2018,20,Juventus,95,"Ciro Immobile, Mauro Icardi",29,4
131,2016-2017,20,Juventus,91,Edin Džeko,29,4
132,2015-2016,20,Juventus,91,Gonzalo Higuaín,36,4
133,2014-2015,20,Juventus,87,"Luca Toni, Mauro Icardi",22,4
