Team,Venue,Opponent,Score,Attendance,Referee
Arsenal,Home,Leicester City,'4 - 2,60033,Darren England
Arsenal,Home,Fulham,'2 - 1,60164,Jarred Gillett
Arsenal,Home,Aston Villa,'2 - 1,60012,Robert Jones
Arsenal,Home,Tottenham,'3 - 1,60278,Anthony Taylor
Arsenal,Home,Liverpool,'3 - 2,60059,Michael Oliver
Arsenal,Home,Nott'ham Forest,'5 - 0,60263,Simon Hooper
Arsenal,Home,West Ham,'3 - 1,60125,Michael Oliver
Arsenal,Home,Newcastle Utd,'0 - 0,60319,Andy Madley
Arsenal,Home,Manchester Utd,'3 - 2,60325,Anthony Taylor
Manchester City,Home,Bournemouth,'4 - 0,53453,David Coote
Manchester City,Home,Crystal Palace,'4 - 2,53112,Darren England
Manchester City,Home,Nott'ham Forest,'6 - 0,53409,Paul Tierney
Manchester City,Home,Manchester Utd,'6 - 3,53475,Michael Oliver
Manchester City,Home,Southampton,'4 - 0,53365,Andy Madley
Manchester City,Home,Brighton,'3 - 1,53223,Craig Pawson
Manchester City,Home,Fulham,'2 - 1,52395,Darren England
Manchester City,Home,Brentford,'1 - 2,52786,Peter Bankes
Manchester City,Home,Everton,'1 - 1,53444,Andy Madley
Manchester City,Home,Tottenham,'4 - 2,53088,Simon Hooper
Manchester City,Home,Wolves,'3 - 0,53282,David Coote
Manchester Utd,Home,Brighton,'1 - 2,73711,Paul Tierney
Manchester Utd,Home,Liverpool,'2 - 1,74147,Michael Oliver
Manchester Utd,Home,Arsenal,'3 - 1,73431,Paul Tierney
Manchester Utd,Home,Newcastle Utd,'0 - 0,73726,Craig Pawson
Manchester Utd,Home,Tottenham,'2 - 0,73677,Simon Hooper
Manchester Utd,Home,West Ham,'1 - 0,73682,Chris Kavanagh
Manchester Utd,Home,Nott'ham Forest,'3 - 0,73608,Anthony Taylor
Manchester Utd,Home,Bournemouth,'3 - 0,73322,Michael Salisbury
Manchester Utd,Home,Manchester City,'2 - 1,75546,Stuart Attwell
Manchester Utd,Home,Crystal Palace,'2 - 1,73420,Andre Marriner
Newcastle Utd,Home,Nott'ham Forest,'2 - 0,52245,Simon Hooper
Newcastle Utd,Home,Manchester City,'3 - 3,52258,Jarred Gillett
