Player,club_name,Nation,Pos,Age,MP,Gls,Ast
Gabriel Dos Santos,Arsenal,BRA,DF,25.0,20,2,0
Aaron Ramsdale,Arsenal,ENG,GK,24.0,20,0,0
William Saliba,Arsenal,FRA,DF,21.0,20,2,1
Bukayo Saka,Arsenal,ENG,FW,21.0,20,7,7
Granit Xhaka,Arsenal,SUI,MF,30.0,20,3,5
Martinelli,Arsenal,BRA,FW,21.0,20,7,2
Ben White,Arsenal,ENG,DF,25.0,20,0,2
Martin Ødegaard,Arsenal,NOR,MF,24.0,19,8,5
Thomas Partey,Arsenal,GHA,MF,29.0,17,2,0
Gabriel Jesus,Arsenal,BRA,FW,25.0,14,5,5
Oleksandr Zinchenko,Arsenal,UKR,DF,26.0,13,0,1
Eddie Nketiah,Arsenal,ENG,FW,23.0,18,4,0
Takehiro Tomiyasu,Arsenal,JPN,DF,24.0,16,0,1
Kieran Tierney,Arsenal,SCO,DF,25.0,15,0,0
Albert Sambi Lokonga,Arsenal,BEL,MF,23.0,6,0,0
Fabio Vieira,Arsenal,POR,"MF,FW",22.0,11,1,1
Mohamed Elneny,Arsenal,EGY,MF,30.0,5,0,0
Reiss Nelson,Arsenal,ENG,FW,23.0,2,2,1
Emile Smith Rowe,Arsenal,ENG,"MF,FW",22.0,5,0,0
Leandro Trossard,Arsenal,BEL,FW,28.0,2,0,0
Jorginho,Arsenal,ITA,MF,31.0,1,0,0
Cédric Soares,Arsenal,POR,DF,31.0,2,0,0
Rob Holding,Arsenal,ENG,DF,27.0,6,0,0
Marquinhos,Arsenal,BRA,MF,19.0,1,0,0
Ethan Nwaneri,Arsenal,ENG,FW,15.0,1,0,0
Nathan Butler-Oyedeji,Arsenal,ENG,FW,20.0,0,0,0
Amario Duberry,Arsenal,ENG,FW,17.0,0,0,0
Karl Jakob Hein,Arsenal,EST,GK,20.0,0,0,0
Jakub Kiwior,Arsenal,POL,"DF,MF",22.0,0,0,0
Nicolas Pépé,Arsenal,CIV,"FW,MF",27.0,0,0,0
Matthew Smith,Arsenal,ENG,MF,22.0,0,0,0
Lino Sousa,Arsenal,ENG,DF,18.0,0,0,0
Matt Turner,Arsenal,USA,GK,28.0,0,0,0
Ederson,Manchester City,BRA,GK,29.0,21,0,1
Rodri,Manchester City,ESP,MF,26.0,20,1,4
Erling Haaland,Manchester City,NOR,FW,22.0,20,25,3
Kevin De Bruyne,Manchester City,BEL,MF,31.0,20,3,11
Bernardo Silva,Manchester City,POR,"MF,FW",28.0,20,2,5
João Cancelo,Manchester City,POR,DF,28.0,17,2,1
Manuel Akanji,Manchester City,SUI,DF,27.0,15,0,1
İlkay Gündoğan,Manchester City,GER,MF,32.0,18,2,2
John Stones,Manchester City,ENG,DF,28.0,14,0,2
Nathan Aké,Manchester City,NED,DF,27.0,15,0,0
Phil Foden,Manchester City,ENG,"FW,DF",22.0,18,7,4
Jack Grealish,Manchester City,ENG,FW,27.0,15,2,3
Riyad Mahrez,Manchester City,ALG,"FW,MF",31.0,16,4,3
Kyle Walker,Manchester City,ENG,DF,32.0,11,0,0
Rúben Dias,Manchester City,POR,DF,25.0,13,0,0
Julián Álvarez,Manchester City,ARG,"FW,MF",23.0,16,4,0
Rico Lewis,Manchester City,ENG,"DF,MF",18.0,9,0,0
Aymeric Laporte,Manchester City,ESP,DF,28.0,5,0,0
Cole Palmer,Manchester City,ENG,"FW,MF",20.0,9,0,0
Sergio Gómez,Manchester City,ESP,"DF,MF",22.0,5,0,1
Kalvin Phillips,Manchester City,ENG,MF,27.0,3,0,0
Scott Carson,Manchester City,ENG,GK,37.0,0,0,0
Liam Delap,Manchester City,ENG,FW,20.0,0,0,0
Claudio Gomes,Manchester City,FRA,MF,22.0,0,0,0
Ben Knight,Manchester City,ENG,MF,20.0,0,0,0
Luke Mbete-Tatu,Manchester City,ENG,DF,19.0,0,0,0
Stefan Ortega,Manchester City,GER,GK,30.0,0,0,0
Máximo Perrone,Manchester City,ARG,MF,20.0,0,0,0
Josh Wilson-Esbrand,Manchester City,ENG,DF,20.0,0,0,0
David de Gea,Manchester Utd,ESP,GK,32.0,21,0,0
Bruno Fernandes,Manchester Utd,POR,"MF,FW",28.0,20,5,4
Marcus Rashford,Manchester Utd,ENG,FW,25.0,21,10,3
Christian Eriksen,Manchester Utd,DEN,MF,30.0,19,1,7
Lisandro Martínez,Manchester Utd,ARG,DF,25.0,19,1,0
Luke Shaw,Manchester Utd,ENG,DF,27.0,17,1,1
Raphaël Varane,Manchester Utd,FRA,DF,29.0,16,0,0
Casemiro,Manchester Utd,BRA,MF,30.0,17,2,3
Diogo Dalot,Manchester Utd,POR,DF,23.0,14,0,1
Antony,Manchester Utd,BRA,FW,22.0,12,3,0
Jadon Sancho,Manchester Utd,ENG,FW,22.0,10,2,1
Tyrell Malacia,Manchester Utd,NED,DF,23.0,12,0,0
Scott McTominay,Manchester Utd,SCO,MF,26.0,15,0,0
Aaron Wan-Bissaka,Manchester Utd,ENG,DF,25.0,8,0,0
Fred,Manchester Utd,BRA,MF,29.0,18,2,0
Anthony Martial,Manchester Utd,FRA,FW,27.0,9,3,2
Anthony Elanga,Manchester Utd,SWE,FW,20.0,13,0,1
Cristiano Ronaldo,Manchester Utd,POR,FW,38.0,10,1,0
Victor Lindelöf,Manchester Utd,SWE,DF,28.0,7,0,0
Harry Maguire,Manchester Utd,ENG,DF,29.0,9,0,0
Wout Weghorst,Manchester Utd,NED,FW,30.0,3,0,0
Alejandro Garnacho,Manchester Utd,ESP,FW,18.0,10,1,2
Donny van de Beek,Manchester Utd,NED,MF,25.0,7,0,0
Marcel Sabitzer,Manchester Utd,AUT,MF,28.0,1,0,0
Rhys Bennett,Manchester Utd,ENG,DF,19.0,0,0,0
Nathan Bishop,Manchester Utd,ENG,GK,23.0,0,0,0
Martin Dúbravka,Manchester Utd,SVK,GK,34.0,0,0,0
James Garner,Manchester Utd,ENG,MF,21.0,0,0,0
Tom Heaton,Manchester Utd,ENG,GK,36.0,0,0,0
Zidane Iqbal,Manchester Utd,IRQ,MF,19.0,0,0,0
Matej Kovar,Manchester Utd,CZE,GK,22.0,0,0,0
Kobbie Mainoo,Manchester Utd,ENG,MF,17.0,0,0,0
Facundo Pellistri,Manchester Utd,URU,MF,21.0,0,0,0
Shola Shoretire,Manchester Utd,ENG,MF,19.0,0,0,0
Brandon Williams,Manchester Utd,ENG,DF,22.0,0,0,0
Nick Pope,Newcastle Utd,ENG,GK,30.0,21,0,0
Kieran Trippier,Newcastle Utd,ENG,DF,32.0,21,1,4
Miguel Almirón,Newcastle Utd,PAR,FW,28.0,21,9,1
Fabian Schär,Newcastle Utd,SUI,DF,31.0,20,1,0
Dan Burn,Newcastle Utd,ENG,DF,30.0,21,0,0
Joe Willock,Newcastle Utd,ENG,MF,23.0,21,2,2
Joelinton,Newcastle Utd,BRA,"MF,FW",26.0,19,2,1
Sven Botman,Newcastle Utd,NED,DF,23.0,19,0,0
Sean Longstaff,Newcastle Utd,ENG,MF,25.0,21,1,3
Bruno Guimarães,Newcastle Utd,BRA,MF,25.0,17,3,3
Callum Wilson,Newcastle Utd,ENG,FW,30.0,16,7,3
Allan Saint-Maximin,Newcastle Utd,FRA,FW,25.0,13,1,3
Jacob Murphy,Newcastle Utd,ENG,FW,27.0,21,1,1
Chris Wood,Newcastle Utd,NZL,FW,31.0,18,2,0
Matt Targett,Newcastle Utd,ENG,DF,27.0,10,0,0
Ryan Fraser,Newcastle Utd,SCO,FW,28.0,8,0,0
Alexander Isak,Newcastle Utd,SWE,FW,23.0,5,3,0
Jamaal Lascelles,Newcastle Utd,ENG,DF,29.0,4,0,0
Elliot Anderson,Newcastle Utd,SCO,"FW,MF",20.0,9,0,0
Jonjo Shelvey,Newcastle Utd,ENG,MF,30.0,3,0,0
