1,Gabriel Dos Santos,BRA,DF,25
2,Aaron Ramsdale,ENG,GK,24
3,William Saliba,FRA,DF,21
4,Bukayo Saka,ENG,FW,21
5,Granit Xhaka,SUI,MF,30
6,Martinelli,BRA,FW,21
7,Ben White,ENG,DF,25
8,Martin Ødegaard,NOR,MF,24
9,Thomas Partey,GHA,MF,29
10,Gabriel Jesus,BRA,FW,25
11,Oleksandr Zinchenko,UKR,DF,26
12,Eddie Nketiah,ENG,FW,23
13,Takehiro Tomiyasu,JPN,DF,24
14,Kieran Tierney,SCO,DF,25
15,Albert Sambi Lokonga,BEL,MF,23
16,Fabio Vieira,POR,"MF,FW",22
17,Mohamed Elneny,EGY,MF,30
18,Reiss Nelson,ENG,FW,23
19,Emile Smith Rowe,ENG,"MF,FW",22
20,Leandro Trossard,BEL,FW,28
21,Jorginho,ITA,MF,31
22,Cédric Soares,POR,DF,31
23,Rob Holding,ENG,DF,27
24,Marquinhos,BRA,MF,19
25,Ethan Nwaneri,ENG,FW,15
26,Nathan Butler-Oyedeji,ENG,FW,20
27,Amario Duberry,ENG,FW,17
28,Karl Jakob Hein,EST,GK,20
29,Jakub Kiwior,POL,"DF,MF",22
30,Nicolas Pépé,CIV,"FW,MF",27
31,Matthew Smith,ENG,MF,22
32,Lino Sousa,ENG,DF,18
33,Matt Turner,USA,GK,28
34,Ederson,BRA,GK,29
35,Rodri,ESP,MF,26
36,Erling Haaland,NOR,FW,22
37,Kevin De Bruyne,BEL,MF,31
38,Bernardo Silva,POR,"MF,FW",28
39,João Cancelo,POR,DF,28
40,Manuel Akanji,SUI,DF,27
41,İlkay Gündoğan,GER,MF,32
42,John Stones,ENG,DF,28
43,Nathan Aké,NED,DF,27
44,Phil Foden,ENG,"FW,DF",22
45,Jack Grealish,ENG,FW,27
46,Riyad Mahrez,ALG,"FW,MF",31
47,Kyle Walker,ENG,DF,32
48,Rúben Dias,POR,DF,25
49,Julián Álvarez,ARG,"FW,MF",23
50,Rico Lewis,ENG,"DF,MF",18
