1,Manchester Utd,Old Trafford,74879
2,West Ham,London Stadium,62500
3,Tottenham,Tottenham Hotspur Stadium,62062
4,Arsenal,Emirates Stadium,60704
5,Manchester City,Etihad Stadium,55017
6,Liverpool,Anfield,54074
7,Newcastle Utd,St James' Park,52338
8,Aston Villa,Villa Park,42682
9,Chelsea,Stamford Bridge,40853
10,Everton,Goodison Park,39571
11,Leeds United,Elland Road,37890
12,Southampton,St Mary's Stadium,32384
13,Leicester City,King Power Stadium,32273
14,Wolves,Molineux Stadium,32050
15,Brighton,AMEX Stadium,31800
16,Nott'ham Forest,The City Ground,30445
17,Crystal Palace,Selhurst Park,26047
18,Fulham,Craven Cottage,22384
19,Brentford,Brentford Community Stadium,17250
20,Bournemouth,Vitality Stadium,11329
21,Milan,Giuseppe Meazza,75923
22,Inter,Giuseppe Meazza,75923
23,Roma,Olimpico di Roma,73261
24,Lazio,Olimpico di Roma,73261
25,Napoli,Stadio Diego Armando Maradona,54726
26,Fiorentina,Artemio Franchi,47282
27,Juventus,Allianz Stadium,41507
28,Hellas Verona,Marcantonio Bentegodi,39211
29,Bologna,Stadio Renato Dall�Ara,36462
30,Sampdoria,Luigi Ferraris,36348
31,Lecce,Ettore Giardiniero,31559
32,Salernitana,Arechi,29739
33,Torino,Stadio Olimpico Grande Torino,28177
34,Udinese,Dacia Arena,25144
35,Sassuolo,Mapei Stadium - Citt� del Tricolore,21584
36,Empoli,Carlo Castellani,19847
37,Atalanta,Gewiss Stadium,19768
38,Cremonese,Giovanni Zini,16003
39,Monza,U-Power Stadium - Brianteo,15039
40,Spezia,Alberto Picco,11512
41,Barcelona,Spotify Camp Nou,99354
42,Real Madrid,Santiago Bernab�u,81044
43,Atl�tico Madrid,Civitas Metropolitano,68456
44,Betis,Benito Villamar�n,59378
45,Athletic Club,San Mam�s,53289
46,Valencia,Mestalla,48600
47,Sevilla,Ram�n S�nchez-Pizju�n,43883
48,Espanyol,RCDE Stadium,40500
49,Real Sociedad,Reale Arena,39313
50,Elche,Manuel Mart�nez Valero,31388
51,Celta Vigo,Abanca Bala�dos,29000
52,Valladolid,Nuevo Jos� Zorrilla,27618
53,Osasuna,El Sadar,23576
54,Villarreal,La Cer�mica,23500
55,C�diz,Nuevo Mirandilla,21094
56,Mallorca,Mallorca Son Moix,20500
57,Getafe,Coliseum Alfonso P�rez,16800
58,Almer�a,Power Horse Stadium,15274
59,Rayo Vallecano,Campo de F�tbol de Vallecas,15105
60,Girona,Montilivi,13286
61,Marseille,Orange V�lodrome,67394
62,Lyon,Groupama Stadium,59186
63,Lille,Decathlon Arena-Stade Pierre-Mauroy,50186
64,Paris S-G,Parc des Princes,49691
65,Lens,Stade Bollaert-Delelis,38223
66,Nantes,Stade de la Beaujoire,37463
67,Nice,Allianz Riviera,36178
68,Toulouse,Stadium Municipal,33150
69,Montpellier,Stade de la Mosson,32939
70,Rennes,Roazhon Park,29778
71,Strasbourg,Stade de la Meinau,29000
72,Troyes,Stade de l'Aube,21877
73,Reims,Stade Auguste-Delaune,21684
74,Angers,Stade Raymond Kopa,19350
75,Lorient,Stade du Moustoir,19010
76,Auxerre,Stade de l'Abb�-Deschamps,18541
77,Monaco,Stade Louis-II,18523
78,Brest,Stade Francis-Le Bl�,15097
79,Clermont Foot,Stade Gabriel-Montpied,13000
80,Ajaccio,Stade Fran�ois-Coty,10446
81,Dortmund,SIGNAL IDUNA PARK,81365
82,Bayern Munich,Allianz Arena,75024
83,Hertha BSC,Olympiastadion Berlin,74667
84,Schalke 04,Veltins-Arena,62271
85,Stuttgart,Mercedes-Benz Arena,60449
86,M'gladbach,Stadion im Borussia-Park,54042
87,Eint Frankfurt,Deutsche Bank Park,51500
88,K�ln,RheinEnergieSTADION,50000
89,RB Leipzig,Red Bull Arena,47069
90,Werder Bremen,Wohninvest-Weserstadion,42100
91,Freiburg,Europa-Park Stadion,34700
92,Mainz 05,Mewa Arena,33305
93,Augsburg,WWK ARENA,30660
94,Leverkusen,BayArena,30210
95,Hoffenheim,PreZero Arena,30150
96,Wolfsburg,Volkswagen Arena,30000
97,Bochum,Vonovia Ruhrstadion,26000
98,Union Berlin,Stadion An der Alten F�rsterei,22012
